Frances Treanor
Frances Walker
Francesca Sanders
Francesco Ruspoli
Francis Apesteguy
Francis Dodd
Francis Donkin Bedford
Francis Farmar
Francis Hamel
Francis Russell Flint
Francis Sultana
Francis Upritchard
Francis Valles
Franciszka Themerson
François Boucq
Françoise Gilot
Frank Archer
Frank Auerbach
Frank Brangwyn
Frank Dobson
Frank Jarvis
Frank Percy Wild
Frank Phelan
Frank Watson Wood
Frank Wortley Johnson
Franki Austin
Franz West
Fred Banbery
Fred Beverton
Fred Cuming
Fred Hall
Fred Ingrams
Fred Rich
Fred Uhlman
Fred Yates
Frédéric Barzilay
Frederick Appleyard
Frederick Edward McWilliam
Frederick Etchells
Frederick Gordon Crosby
Frederick James Everest
Frederick William Baldwin
Freya Douglas-Morris
Friedrich Vordemberge-Gildewart
Gala Bell
Galia Amsel
Gareth Lloyd-Ball
Garnet Wolseley
Gary Breeze
Gavin Turk
Gennadii Gogoliuk
Geoff Taylor
Geoffrey Dashwood
Georg Wilson
George Adamson
George Chapman
Nora Lucy Mowbrary Cundell
George Dannatt
George Edward Lodge
George F. Campbell
George Fullard
George Hammond Steel
George Harrison
George Henry
George Houston
George Jardine
George Kennethson
George Morton-Clark
George William Bissill
Georges Fevre
Georges Pierre
Georgia Hayes
Georgie Hopton
Gerald Gardiner
Gerald Kelly
Gerald Laing
Gerald Leslie Brockhurst
Gerald Wilde
Geraldine Knight
Geraldine Swayne
Gerard Burns
Gerard Dillon
Gérard Lauzier
Gerard Tisserand
Gertrude Hermes
Gilles Caron
Gilles Ehrmann
Gilles Peress
Gillian Ayres
Gillian Furlong
Gillian Kelly
Gillian Lawson
Gina Kuschke
Gina Parr
Giorgios/George Gounaropoulos
Glen Paul Mendes
Glyn Morgan
Glyn Uzzell
Glynn Boyd-Harte
Godfried Donkor
Gordon Baldwin
Gordon Horner
Gordon Mitchell
Goshka Macuga
Grace McCrindle
Grace Mcnerney
Graham Dean
Graham Foster
Graham Murray
Graham Payn
Graham Rust
Graham Sutherland
Grant McQueen Wilson
Grenville Davey
Guler Ates
Gus Cummins
Gus Monday
Guy Allott
Guy Beggs
Guy Denning
Guy Gladwell
Guy Le Querrec
Guy Limone
Guy Marineau
Guy Roddon
Gwilym Prichard
Gwyther Irwin
Hamish Macaulay
Hanna Weil
Hannah Bays
Hannah Buchanan
Hannah Gluckstein
Hannah Thomas
Hannah Tilson
Hannah Whittle
Hanne Peeraer
Hans Coper
Hans Feibusch
Hans Schwarz
Hans Sylvester
Hans Zatzka
Harold Knight
Harold Steggles
Harold Wood
Haroon Mirza
Harry Benson
Harry Bilson
Harry Gruyaert
Harry Mileham
Harry More Gordon
Harry Ousey
Harry Rudham
Haydn Reynolds Mackey
Hector McDonnell
Hector Miller
Helen Backhouse
Helen Chadwick
Helen Clarke
Helena Almeida
Hella Jongerius
Helmut Newton
Héloïse Delègue
Henri Cartier-Bresson
Henri Castella
Henrietta Hoyer Millar
Henry Inlander
Henry Jabbour
Henry Lamb
Henry Rushbury
Hervé Donnezan
Hervé Le Mesle
Hester Finch
Hilary Jones
Hilary Simon
Hiroshi Suzuki
Holly Frean
Howard Hodgkin
Howard Morgan
Howard Raybould
Hubert Cyril Dalwood
Hugh Casson
Hugh Dunford Wood
Hugh Mendes
Hughie O'Donoghue
Hugo Grenville
Hugo Wilson
Humphrey Bowden
Humphrey Spender
Huw Parsons
Hynek Martinec
Iain Mackay
Iain MacNab
Ian Dawson
Ian Hamilton Finlay
Ian Humphreys
Ian MacGillivray
Ian Mowforth
Ian Stephenson
Ida Cooke
Iga Koncka
Inge Clayton
Inge Morath
Irina Corduban
